,Reviews,result
32,"실물이 훨신 더 예뻐요.^^ 너무 마음에 드네요. 신발도 가볍고, 디자인데 예쁘고 청바지를 즐겨입는데 잘 어울려요.^^~",1
33,잘받았구여 기다린 보람이있네여 역시 이쁘네여 잘신을께여..,1
34,예상했던 것 보다 실물이 더 더 더 예뻐요쿠션감도 좋아요.편하게 잘 맞아요.칼발이라  240 약간 넉넉해요.정사이즈  괜찮을것 같아요.,1
35,너무 이쁘네요^^ 와이프 사이즈가 235정사이즈인데 딱 맞습니다. 깜짝 선물로 구입했는데 완전 본인 스타일이라고 너무 좋아하네요!! 착용감도 좋다하고 스타일리쉬합니다. 꼭 이벤트 당청되길 바래봅니다. 감사합니다 #레트로러닝,1
36,와이프선물로 구매정싸이즈에 이쁘고 맘에 들어하네요신상이라서 바로 픽,1
37,"정말 사고싶었던거였는데 신제품으로 나와서 너무 좋았어요!!! 기다리고 있었는데...p6000제품 너무 편한 러닝하고요.,코디하기도 너무 예뻐요!!!특히 메탈실버는 포인트로 짱!!! 사이즈(235)도 딱이네요!!!#레트로러닝#나이키#p6000",1
38,평소에 일반신발들은 250사이즈 신구요~ 나이키는 항상 Mans240으로 신고있습니다.P-6000 무척 가벼워서 편안하게 신기 좋은타입 이예요. 요즘 부쩍 실버~ 골드~ 가 많은 추세라 실버 한 번 신어봅니다ㅎ 가격도 가벼워서 유행타더래도 부담없이 구매했습니다.,1
39,P6000 요새 많이들 신는데가격대비 너무 편하고 이번제품은 가을겨울 따뜻할듯 합니다.,1
40,사진보다 실물이 훨씬 이뻐요저 신으려고 했는데아버지가 스틸해가심요ㅋ,1
41,사이즈도 적당하고 디자인도 이쁜거 같아요#멤버스데이즈리뷰이벤트,1
42,신발이 가볍고 이쁘네요.세일할때 좋은가격에 잘 샀네요.운동할때나 평상시 신어도 괜찮을듯합니다.,1
43,가볍고 쿠션감도 좋아요. 가죽도 탄탄하니 좋습니다. 세일해서 아주 싸게 구입을 했어요. 다른 데서 사는 것보다 굉장히 저렴한 가격에 살 수 있었음. 올검보다는 나이키 로고가 흰색이어서 멋짐,1
44,큐셔닝도 좋고 정사이즈 입니다.편하네요.평소 사이즈 280 정사이즈로 갔습니다,1
45,원하던 색상이 없어서 그냥 사이즈 볼려고 구매했다가 한번 반품했는데 이색상도 이쁠거 같아서 다시 구매했네요. 착화감 너무좋고 정사이즈 선택. 발볼이 조금 좁으시면 여성260신어도 좋더라구오ㅡ,1
46,직접 받아보니 실물깡패네요^^가볍고 쿠션도 좋아요.정말 맘에 들어요♡♡,1
47,회색 신발 하나 필요해서 장만했어요.나이키는 무조건 반업이라 이것도 반업했는데확실히 지금껏 구입한 나이키의 다른 제품들 보다는 여유있네요무엇보다 신발이 맘에 들어요~,1
