shoe_name,review_1,review_2,review_3,review_4,review_5,review_6,review_7,review_8,review_9,review_10
나이키 페가수스 트레일 4,나이키 페가수스 트레일 4,나이키 페가수스 트레일 4,나이키 페가수스 트레일 4,나이키 페가수스 트레일 4,나이키 페가수스 트레일 4,나이키 페가수스 트레일 4,나이키 페가수스 트레일 4,나이키 페가수스 트레일 4,나이키 페가수스 트레일 4,나이키 페가수스 트레일 4
나이키 울트라플라이,나이키 울트라플라이,나이키 울트라플라이,나이키 울트라플라이,나이키 울트라플라이,나이키 울트라플라이,나이키 울트라플라이,나이키 울트라플라이,나이키 울트라플라이,나이키 울트라플라이,나이키 울트라플라이
